class,target,cisa_sector,isp_cdn,tranco_rank,ahrefs_rank,ahrefs_category,validated_ip,resolve,source
Pakistan,careers635.com.pk,Commercial Facilities,Pakistan Telecommuication company limited,904351,,,,probe,exp07_original
Pakistan,cxtreme.pk,Commercial Facilities,Cyber Internet Services (Private) Limited,94090,,,,probe,exp07_original
Pakistan,dgcs.gos.pk,Commercial Facilities,Punjab Information Technology Board,723900,,,,probe,exp07_original
Pakistan,digiskills.pk,Commercial Facilities,HEC,79267,,,,probe,exp07_original
Pakistan,dunyanews.tv,Commercial Facilities,Multinet Broadband,61597,,,,probe,exp07_original
Pakistan,enc.com.pk,Commercial Facilities,PITC,778620,,,,probe,exp07_original
Pakistan,excise.gos.pk,Commercial Facilities,Pakistan Telecommuication company limited,93557,,,,probe,exp07_original
Pakistan,gnnhd.tv,Commercial Facilities,Gourmet Foods,649145,,,,probe,exp07_original
Pakistan,hrd1902.com.pk,Commercial Facilities,HEC,215205,,,,probe,exp07_original
Pakistan,kknetworks.com.pk,Commercial Facilities,KK Networks (Pvt) Ltd.,252690,,,,probe,exp07_original
Pakistan,logon.com.pk,Commercial Facilities,Logon Broadband Pvt. Limited,158595,,,,probe,exp07_original
Pakistan,mgacs.com.pk,Commercial Facilities,Connect Communication,215983,,,,probe,exp07_original
Pakistan,networld.pk,Commercial Facilities,Fariya Networks 150,284271,,,,probe,exp07_original
Pakistan,phf.gop.pk,Commercial Facilities,Punjab Information Technology Board,815868,,,,probe,exp07_original
Pakistan,psca.gop.pk,Commercial Facilities,Punjab Safe City Authority,71839,,,,probe,exp07_original
Pakistan,sonic.pk,Commercial Facilities,Mobilink GSM,209691,,,,probe,exp07_original
Pakistan,sparkbroadband.pk,Commercial Facilities,Logon Broadband Pvt. Limited,272378,,,,probe,exp07_original
Pakistan,tevta.gop.pk,Commercial Facilities,ITI Karachi Multinet,833024,,,,probe,exp07_original
Pakistan,toptop.net,Commercial Facilities,Gerrys Information Technology (PVT) Ltd,17707,,,,probe,exp07_original
Pakistan,trax.pk,Commercial Facilities,Mobilink GSM,835562,,,,probe,exp07_original
Pakistan,urdu.dunyanews.tv,Commercial Facilities,Multinet Broadband,61597,,,,probe,exp07_original
Pakistan,worldlinkisp.pk,Commercial Facilities,Wateen Telecom Limited,842392,,,,probe,exp07_original
Pakistan,youth.cn,Commercial Facilities,Gerrys Information Technology (PVT) Ltd,13948,,,,probe,exp07_original
Pakistan,zcomnetworks.com.pk,Commercial Facilities,Z COM NETWORKS,326580,,,,probe,exp07_original
CDN,apkamazon.com.pk,Commercial Facilities,Cloudflare,759681,,,,probe,exp07_original
CDN,auroracloset.pk,Commercial Facilities,Cloudflare,761376,,,,probe,exp07_original
CDN,burgeroclock.com.pk,Commercial Facilities,Cloudflare,766936,,,,probe,exp07_original
CDN,businesslist.pk,Commercial Facilities,Cloudflare,458568,,,,probe,exp07_original
CDN,digikhata.pk,Commercial Facilities,Cloudflare,853045,,,,probe,exp07_original
CDN,dogar.com.pk,Commercial Facilities,Cloudflare,503389,,,,probe,exp07_original
CDN,historicalpoint.pk,Commercial Facilities,Cloudflare,788763,,,,probe,exp07_original
CDN,honda.com.pk,Commercial Facilities,Cloudflare,465788,,,,probe,exp07_original
CDN,logoofficial.com,Commercial Facilities,Cloudflare,91746,,,,probe,exp07_original
CDN,meerzah.pk,Commercial Facilities,Cloudflare,539684,,,,probe,exp07_original
CDN,mepcoebillcheck.pk,Commercial Facilities,Cloudflare,454617,,,,probe,exp07_original
CDN,motifz.com.pk,Commercial Facilities,Cloudflare,180276,,,,probe,exp07_original
CDN,pesconlinebill.pk,Commercial Facilities,Cloudflare,815491,,,,probe,exp07_original
CDN,pinkpetals.pk,Commercial Facilities,Cloudflare,816265,,,,probe,exp07_original
CDN,reading.pk,Commercial Facilities,Cloudflare,950343,,,,probe,exp07_original
CDN,sarazcollection.pk,Commercial Facilities,Cloudflare,824191,,,,probe,exp07_original
CDN,skyscanner.pk,Commercial Facilities,AWS,183620,,,,probe,exp07_original
CDN,supermeal.pk,Commercial Facilities,Microsoft/Azure,174089,,,,probe,exp07_original
CDN,thefrontierpost.com,Commercial Facilities,Cloudflare,312904,,,,probe,exp07_original
CDN,urbanbeauty.pk,Commercial Facilities,Cloudflare,704376,,,,probe,exp07_original
CDN,vidmateapp.com.pk,Commercial Facilities,Cloudflare,839505,,,,probe,exp07_original
CDN,wbm.com.pk,Commercial Facilities,Cloudflare,684068,,,,probe,exp07_original
CDN,zarajahan.pk,Commercial Facilities,Cloudflare,923506,,,,probe,exp07_original
CDN,zing.pk,Commercial Facilities,Cloudflare,845380,,,,probe,exp07_original
Abroad,588wingames.pk,Commercial Facilities,Namecheap  Inc. (US),900729,,,,probe,exp07_original
Abroad,777sxgameapp.pk,Commercial Facilities,Namecheap  Inc. (US),754381,,,,probe,exp07_original
Abroad,apkzone.pk,Commercial Facilities,Hetzner Online GmbH (DE),557726,,,,probe,exp07_original
Abroad,enic.pk,Commercial Facilities,WHG Hosting Services Ltd (SG),392622,,,,probe,exp07_original
Abroad,hopkicks.pk,Commercial Facilities,Hetzner Online GmbH (FI),560636,,,,probe,exp07_original
Abroad,hostpro.com.pk,Commercial Facilities,WHG Hosting Services Ltd (SG),733597,,,,probe,exp07_original
Abroad,insta.com.pk,Commercial Facilities,Interserver  Inc (US),909638,,,,probe,exp07_original
Abroad,nawaiwaqt.com.pk,Commercial Facilities,Hetzner Online GmbH (FI),294028,,,,probe,exp07_original
Abroad,pessi.gop.pk,Commercial Facilities,OVH SAS (GB),815504,,,,probe,exp07_original
Abroad,pgf.com.pk,Commercial Facilities,SoftLayer (US),549696,,,,probe,exp07_original
Abroad,publicnews.com,Commercial Facilities,Hetzner Online GmbH (FI),,,,,probe,exp07_original
Abroad,scouted-today.pk,Commercial Facilities,Ddos-guard LTD (RU),452746,,,,probe,exp07_original
Pakistan,galaxy.net.pk,Communications,Galaxy Broadband (pvt.) Ltd.,393636,,,,probe,exp07_original
Pakistan,gbn.net.pk,Communications,Gemnet Enterprise Solutions Pvt Ltd,784286,,,,probe,exp07_original
Pakistan,topcity-1.com,Communications,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",,,,,probe,exp07_original
CDN,glory-casino.net.pk,Communications,Cloudflare,121930,,,,probe,exp07_original
CDN,idc.net.pk,Communications,Google,727218,,,,probe,exp07_original
CDN,wancom.net.pk,Communications,Cloudflare,173018,,,,probe,exp07_original
